:Data_list: wingkp_list.txt
:Created: 2016 Jan 04 0601 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
#
# Units: Predicted Index 0-9 in Kp units
#
# Solar Wind Source: ACE Satellite.  Wing Kp data provided by USAF AFWA.
# The value -1 in the report indicates missing data.
#
#                      USAF 15-minute Wing Kp Geomagnetic Activity Index
#
#                        1-hour         1-hour        4-hour         4-hour     
# UT Date   Time      Predicted Time  Predicted    Predicted Time  Predicted   USAF Est.
# YR MO DA  HHMM      YR MO DA  HHMM    Index      YR MO DA  HHMM    Index        Kp    
#---------------------------------------------------------------------------------------
2015 12 31  1300    2015 12 31  1359     5.33    2015 12 31  1659     7.00       6.67
2015 12 31  1315    2015 12 31  1415     5.33    2015 12 31  1715     7.00       6.67
2015 12 31  1330    2015 12 31  1430     5.33    2015 12 31  1730     7.00       6.67
2015 12 31  1345    2015 12 31  1444     5.33    2015 12 31  1744     6.67       6.67
2015 12 31  1400    2015 12 31  1500     5.00    2015 12 31  1800     6.67       6.67
2015 12 31  1415    2015 12 31  1515     5.00    2015 12 31  1815     6.33       6.67
2015 12 31  1430    2015 12 31  1529     4.67    2015 12 31  1829     6.00       6.67
2015 12 31  1445    2015 12 31  1545     7.67    2015 12 31  1845     8.00       6.67
2015 12 31  1500    2015 12 31  1600     7.33    2015 12 31  1900     8.00       5.67
2015 12 31  1515    2015 12 31  1614     7.00    2015 12 31  1914     7.33       5.67
2015 12 31  1530    2015 12 31  1630     6.33    2015 12 31  1930     7.00       5.67
2015 12 31  1545    2015 12 31  1645     6.67    2015 12 31  1945     7.00       5.67
2015 12 31  1600    2015 12 31  1659     6.33    2015 12 31  1959     7.00       5.67
2015 12 31  1615    2015 12 31  1715     6.33    2015 12 31  2015     7.00       5.67
2015 12 31  1630    2015 12 31  1730     6.33    2015 12 31  2030     7.00       5.67
2015 12 31  1645    2015 12 31  1744     5.33    2015 12 31  2044     6.33       5.67
2015 12 31  1700    2015 12 31  1800     5.00    2015 12 31  2100     6.00       5.67
2015 12 31  1715    2015 12 31  1815     5.00    2015 12 31  2115     5.67       5.67
2015 12 31  1730    2015 12 31  1829     5.00    2015 12 31  2129     5.33       5.67
2015 12 31  1745    2015 12 31  1845     4.00    2015 12 31  2145     5.00       5.67
2015 12 31  1800    2015 12 31  1900     4.33    2015 12 31  2200     5.00       6.33
2015 12 31  1815    2015 12 31  1914     4.33    2015 12 31  2214     5.00       6.33
2015 12 31  1830    2015 12 31  1930     4.67    2015 12 31  2230     5.33       6.33
2015 12 31  1845    2015 12 31  1945     5.33    2015 12 31  2245     5.67       6.33
2015 12 31  1900    2015 12 31  1959     5.33    2015 12 31  2259     6.00       6.33
2015 12 31  1915    2015 12 31  2015     5.67    2015 12 31  2315     6.67       6.33
2015 12 31  1930    2015 12 31  2030     5.67    2015 12 31  2330     6.67       6.33
2015 12 31  1945    2015 12 31  2044     5.00    2015 12 31  2344     6.33       6.33
2015 12 31  2000    2015 12 31  2100     5.33    2016 01 01  0000     7.00       6.33
2015 12 31  2015    2015 12 31  2115     5.67    2016 01 01  0015     7.33       6.33
2015 12 31  2030    2015 12 31  2129     6.00    2016 01 01  0029     7.33       6.33
2015 12 31  2045    2015 12 31  2145     4.33    2016 01 01  0045     6.33       6.33
2015 12 31  2100    2015 12 31  2200     5.00    2016 01 01  0100     6.67       5.33
2015 12 31  2115    2015 12 31  2214     5.33    2016 01 01  0114     7.00       5.33
2015 12 31  2130    2015 12 31  2230     5.67    2016 01 01  0130     7.00       5.33
2015 12 31  2145    2015 12 31  2245     5.67    2016 01 01  0145     7.00       5.33
2015 12 31  2200    2015 12 31  2259     5.67    2016 01 01  0159     7.00       5.33
2015 12 31  2215    2015 12 31  2315     5.67    2016 01 01  0215     7.00       5.33
2015 12 31  2230    2015 12 31  2330     5.67    2016 01 01  0230     7.00       5.33
2015 12 31  2245    2015 12 31  2344     7.33    2016 01 01  0244     8.33       5.33
2015 12 31  2300    2016 01 01  0000     7.33    2016 01 01  0300     8.33       5.33
2015 12 31  2315    2016 01 01  0015     7.33    2016 01 01  0315     8.00       5.33
2015 12 31  2330    2016 01 01  0029     7.00    2016 01 01  0329     8.00       5.33
2015 12 31  2345    2016 01 01  0045     6.67    2016 01 01  0345     7.67       5.33
2016 01 01  0000    2016 01 01  0100     6.67    2016 01 01  0400     7.67       5.67
2016 01 01  0015    2016 01 01  0114     6.67    2016 01 01  0414     7.67       5.67
2016 01 01  0030    2016 01 01  0130     6.67    2016 01 01  0430     7.67       5.67
2016 01 01  0045    2016 01 01  0145     5.67    2016 01 01  0445     7.00       5.67
2016 01 01  0100    2016 01 01  0159     5.67    2016 01 01  0459     7.33       5.67
2016 01 01  0115    2016 01 01  0215     6.00    2016 01 01  0515     7.33       5.67
2016 01 01  0130    2016 01 01  0230     6.00    2016 01 01  0530     7.33       5.67
2016 01 01  0145    2016 01 01  0244     6.00    2016 01 01  0544     7.00       5.67
2016 01 01  0200    2016 01 01  0300     6.00    2016 01 01  0600     7.00       5.67
2016 01 01  0215    2016 01 01  0315     6.00    2016 01 01  0615     7.00       5.67
2016 01 01  0230    2016 01 01  0329     6.00    2016 01 01  0629     7.00       5.67
2016 01 01  0245    2016 01 01  0345     6.00    2016 01 01  0645     7.00       5.67
2016 01 01  0300    2016 01 01  0400     6.00    2016 01 01  0700     7.00       4.00
2016 01 01  0315    2016 01 01  0414     5.67    2016 01 01  0714     7.00       4.00
2016 01 01  0330    2016 01 01  0430     5.67    2016 01 01  0730     7.00       4.00
2016 01 01  0345    2016 01 01  0445     5.67    2016 01 01  0745     7.00       4.00
2016 01 01  0400    2016 01 01  0459     5.67    2016 01 01  0759     6.67       4.00
2016 01 01  0415    2016 01 01  0515     5.67    2016 01 01  0815     6.67       4.00
2016 01 01  0430    2016 01 01  0530     5.67    2016 01 01  0830     6.67       4.00
2016 01 01  0445    2016 01 01  0544     6.00    2016 01 01  0844     7.00       4.00
2016 01 01  0500    2016 01 01  0600     6.00    2016 01 01  0900     7.00       4.00
2016 01 01  0515    2016 01 01  0615     6.00    2016 01 01  0915     7.00       4.00
2016 01 01  0530    2016 01 01  0629     6.00    2016 01 01  0929     6.67       4.00
2016 01 01  0545    2016 01 01  0645     5.33    2016 01 01  0945     6.33       4.00
2016 01 01  0600    2016 01 01  0700     5.33    2016 01 01  1000     6.33       4.00
2016 01 01  0615    2016 01 01  0714     5.33    2016 01 01  1014     6.33       4.00
2016 01 01  0630    2016 01 01  0730     5.00    2016 01 01  1030     6.00       4.00
2016 01 01  0645    2016 01 01  0745     4.00    2016 01 01  1045     5.00       4.00
2016 01 01  0700    2016 01 01  0759     4.00    2016 01 01  1059     5.00       4.00
2016 01 01  0715    2016 01 01  0815     4.33    2016 01 01  1115     5.33       4.00
2016 01 01  0730    2016 01 01  0830     4.33    2016 01 01  1130     5.33       4.00
2016 01 01  0745    2016 01 01  0844     3.67    2016 01 01  1144     4.67       4.00
2016 01 01  0800    2016 01 01  0900     3.67    2016 01 01  1200     5.00       4.00
2016 01 01  0815    2016 01 01  0915     4.00    2016 01 01  1215     5.00       4.00
2016 01 01  0830    2016 01 01  0929     4.00    2016 01 01  1229     5.00       4.00
2016 01 01  0845    2016 01 01  0945     3.67    2016 01 01  1245     4.67       4.00
2016 01 01  0900    2016 01 01  1000     4.00    2016 01 01  1300     5.00       3.67
2016 01 01  0915    2016 01 01  1014     4.00    2016 01 01  1314     4.67       3.67
2016 01 01  0930    2016 01 01  1030     4.00    2016 01 01  1330     4.67       3.67
2016 01 01  0945    2016 01 01  1045     4.00    2016 01 01  1345     4.33       3.67
2016 01 01  1000    2016 01 01  1059     3.67    2016 01 01  1359     4.00       3.67
2016 01 01  1015    2016 01 01  1115     3.67    2016 01 01  1415     3.67       3.67
2016 01 01  1030    2016 01 01  1130     3.33    2016 01 01  1430     3.67       3.67
2016 01 01  1045    2016 01 01  1144     3.67    2016 01 01  1444     3.67       3.67
2016 01 01  1100    2016 01 01  1200     3.67    2016 01 01  1500     3.33       3.67
2016 01 01  1115    2016 01 01  1215     3.33    2016 01 01  1515     3.33       3.67
2016 01 01  1130    2016 01 01  1229     3.00    2016 01 01  1529     3.00       3.67
2016 01 01  1145    2016 01 01  1245     2.33    2016 01 01  1545     2.33       3.67
2016 01 01  1200    2016 01 01  1300     2.33    2016 01 01  1600     2.00       1.00
2016 01 01  1215    2016 01 01  1314     2.33    2016 01 01  1614     2.00       1.00
2016 01 01  1230    2016 01 01  1330     2.33    2016 01 01  1630     2.00       1.00
2016 01 01  1245    2016 01 01  1345     2.33    2016 01 01  1645     2.00       1.00
2016 01 01  1300    2016 01 01  1359     2.67    2016 01 01  1659     2.00       1.00
2016 01 01  1315    2016 01 01  1415     2.67    2016 01 01  1715     2.33       1.00
2016 01 01  1330    2016 01 01  1430     3.00    2016 01 01  1730     2.67       1.00
2016 01 01  1345    2016 01 01  1444     3.00    2016 01 01  1744     3.00       1.00
2016 01 01  1400    2016 01 01  1500     3.00    2016 01 01  1800     3.00       1.00
2016 01 01  1415    2016 01 01  1515     3.00    2016 01 01  1815     3.00       1.00
2016 01 01  1430    2016 01 01  1529     3.00    2016 01 01  1829     3.00       1.00
2016 01 01  1445    2016 01 01  1545     1.67    2016 01 01  1845     1.67       1.00
2016 01 01  1500    2016 01 01  1600     2.00    2016 01 01  1900     2.33       1.33
2016 01 01  1515    2016 01 01  1614     2.33    2016 01 01  1914     2.67       1.33
2016 01 01  1530    2016 01 01  1630     2.67    2016 01 01  1930     2.67       1.33
2016 01 01  1545    2016 01 01  1645     0.33    2016 01 01  1945     1.00       1.33
2016 01 01  1600    2016 01 01  1659     0.67    2016 01 01  1959     1.33       1.33
2016 01 01  1615    2016 01 01  1715     1.33    2016 01 01  2015     1.67       1.33
2016 01 01  1630    2016 01 01  1730     1.67    2016 01 01  2030     1.67       1.33
2016 01 01  1645    2016 01 01  1744     1.67    2016 01 01  2044     1.67       1.33
2016 01 01  1700    2016 01 01  1800     1.67    2016 01 01  2100     1.67       1.33
2016 01 01  1715    2016 01 01  1815     1.67    2016 01 01  2115     1.67       1.33
2016 01 01  1730    2016 01 01  1829     1.67    2016 01 01  2129     1.67       1.33
2016 01 01  1745    2016 01 01  1845     1.67    2016 01 01  2145     1.67       1.33
2016 01 01  1800    2016 01 01  1900     1.67    2016 01 01  2200     1.67       1.67
2016 01 01  1815    2016 01 01  1914     1.67    2016 01 01  2214     1.33       1.67
2016 01 01  1830    2016 01 01  1930     1.33    2016 01 01  2230     1.33       1.67
2016 01 01  1845    2016 01 01  1945     2.33    2016 01 01  2245     2.00       1.67
2016 01 01  1900    2016 01 01  1959     2.33    2016 01 01  2259     2.00       1.67
2016 01 01  1915    2016 01 01  2015     2.00    2016 01 01  2315     1.67       1.67
2016 01 01  1930    2016 01 01  2030     2.00    2016 01 01  2330     1.67       1.67
2016 01 01  1945    2016 01 01  2044     1.33    2016 01 01  2344     1.33       1.67
2016 01 01  2000    2016 01 01  2100     1.33    2016 01 02  0000     1.67       1.67
2016 01 01  2015    2016 01 01  2115     1.33    2016 01 02  0015     1.67       1.67
2016 01 01  2030    2016 01 01  2129     1.67    2016 01 02  0029     1.67       1.67
2016 01 01  2045    2016 01 01  2145     0.33    2016 01 02  0045     0.67       1.67
2016 01 01  2100    2016 01 01  2200     0.67    2016 01 02  0100     1.00       1.67
2016 01 01  2115    2016 01 01  2214     1.00    2016 01 02  0114     1.00       1.67
2016 01 01  2130    2016 01 01  2230     1.00    2016 01 02  0130     1.00       1.67
2016 01 01  2145    2016 01 01  2245     2.00    2016 01 02  0145     1.67       1.67
2016 01 01  2200    2016 01 01  2259     2.00    2016 01 02  0159     1.33       1.67
2016 01 01  2215    2016 01 01  2315     1.67    2016 01 02  0215     1.33       1.67
2016 01 01  2230    2016 01 01  2330     1.67    2016 01 02  0230     1.33       1.67
2016 01 01  2245    2016 01 01  2344     2.33    2016 01 02  0244     2.00       1.67
2016 01 01  2300    2016 01 02  0000     2.33    2016 01 02  0300     1.67       1.67
2016 01 01  2315    2016 01 02  0015     2.00    2016 01 02  0315     1.67       1.67
2016 01 01  2330    2016 01 02  0029     2.00    2016 01 02  0329     1.67       1.67
2016 01 01  2345    2016 01 02  0045     2.33    2016 01 02  0345     2.00       1.67
2016 01 02  0000    2016 01 02  0100     2.00    2016 01 02  0400     2.00       2.00
2016 01 02  0015    2016 01 02  0114     2.00    2016 01 02  0414     2.00       2.00
2016 01 02  0030    2016 01 02  0130     2.00    2016 01 02  0430     2.00       2.00
2016 01 02  0045    2016 01 02  0145     1.00    2016 01 02  0445     1.00       2.00
2016 01 02  0100    2016 01 02  0159     1.00    2016 01 02  0459     1.33       2.00
2016 01 02  0115    2016 01 02  0215     1.33    2016 01 02  0515     1.33       2.00
2016 01 02  0130    2016 01 02  0230     1.33    2016 01 02  0530     1.67       2.00
2016 01 02  0145    2016 01 02  0244     2.00    2016 01 02  0544     2.00       2.00
2016 01 02  0200    2016 01 02  0300     2.00    2016 01 02  0600     2.00       2.00
2016 01 02  0215    2016 01 02  0315     2.00    2016 01 02  0615     2.00       2.00
2016 01 02  0230    2016 01 02  0329     2.00    2016 01 02  0629     2.00       2.00
2016 01 02  0245    2016 01 02  0345     1.67    2016 01 02  0645     1.67       2.00
2016 01 02  0300    2016 01 02  0400     1.67    2016 01 02  0700     2.00       2.00
2016 01 02  0315    2016 01 02  0414     1.67    2016 01 02  0714     2.00       2.00
2016 01 02  0330    2016 01 02  0430     1.67    2016 01 02  0730     2.00       2.00
2016 01 02  0345    2016 01 02  0445     2.67    2016 01 02  0745     2.67       2.00
2016 01 02  0400    2016 01 02  0459     2.67    2016 01 02  0759     2.33       2.00
2016 01 02  0415    2016 01 02  0515     2.33    2016 01 02  0815     2.33       2.00
2016 01 02  0430    2016 01 02  0530     2.33    2016 01 02  0830     2.33       2.00
2016 01 02  0445    2016 01 02  0544     2.00    2016 01 02  0844     2.33       2.00
2016 01 02  0500    2016 01 02  0600     2.00    2016 01 02  0900     2.33       2.00
2016 01 02  0515    2016 01 02  0615     2.00    2016 01 02  0915     2.33       2.00
2016 01 02  0530    2016 01 02  0629     2.00    2016 01 02  0929     2.33       2.00
2016 01 02  0545    2016 01 02  0645     2.00    2016 01 02  0945     2.33       2.00
2016 01 02  0600    2016 01 02  0700     2.00    2016 01 02  1000     2.67       2.00
2016 01 02  0615    2016 01 02  0714     2.00    2016 01 02  1014     2.67       2.00
2016 01 02  0630    2016 01 02  0730     2.33    2016 01 02  1030     2.67       2.00
2016 01 02  0645    2016 01 02  0745     2.33    2016 01 02  1045     3.00       2.00
2016 01 02  0700    2016 01 02  0759     2.33    2016 01 02  1059     3.00       2.00
2016 01 02  0715    2016 01 02  0815     2.33    2016 01 02  1115     3.00       2.00
2016 01 02  0730    2016 01 02  0830     2.33    2016 01 02  1130     3.00       2.00
2016 01 02  0745    2016 01 02  0844     2.33    2016 01 02  1144     2.67       2.00
2016 01 02  0800    2016 01 02  0900     2.33    2016 01 02  1200     2.33       2.00
2016 01 02  0815    2016 01 02  0915     2.33    2016 01 02  1215     2.33       2.00
2016 01 02  0830    2016 01 02  0929     2.33    2016 01 02  1229     2.33       2.00
2016 01 02  0845    2016 01 02  0945     1.33    2016 01 02  1245     1.67       2.00
2016 01 02  0900    2016 01 02  1000     1.67    2016 01 02  1300     2.00       2.00
2016 01 02  0915    2016 01 02  1014     1.67    2016 01 02  1314     2.00       2.00
2016 01 02  0930    2016 01 02  1030     2.00    2016 01 02  1330     2.00       2.00
2016 01 02  0945    2016 01 02  1045     2.00    2016 01 02  1345     2.33       2.00
2016 01 02  1000    2016 01 02  1100     2.00    2016 01 02  1400     2.33       2.00
2016 01 02  1015    2016 01 02  1115     2.00    2016 01 02  1415     2.33       2.00
2016 01 02  1030    2016 01 02  1130     2.00    2016 01 02  1430     2.33       2.00
2016 01 02  1045    2016 01 02  1144     3.00    2016 01 02  1444     3.00       2.00
2016 01 02  1100    2016 01 02  1200     2.67    2016 01 02  1500     2.67       2.00
2016 01 02  1115    2016 01 02  1215     2.33    2016 01 02  1515     2.33       2.00
2016 01 02  1130    2016 01 02  1229     2.33    2016 01 02  1529     2.33       2.00
2016 01 02  1145    2016 01 02  1245     2.00    2016 01 02  1545     2.00       2.00
2016 01 02  1200    2016 01 02  1300     2.00    2016 01 02  1600     2.00       1.33
2016 01 02  1215    2016 01 02  1314     2.00    2016 01 02  1614     2.00       1.33
2016 01 02  1230    2016 01 02  1330     2.00    2016 01 02  1630     2.00       1.33
2016 01 02  1245    2016 01 02  1345     2.00    2016 01 02  1645     1.67       1.33
2016 01 02  1300    2016 01 02  1359     2.00    2016 01 02  1659     1.67       1.33
2016 01 02  1315    2016 01 02  1415     1.67    2016 01 02  1715     1.67       1.33
2016 01 02  1330    2016 01 02  1430     2.00    2016 01 02  1730     1.67       1.33
2016 01 02  1345    2016 01 02  1444     2.00    2016 01 02  1744     1.67       1.33
2016 01 02  1400    2016 01 02  1500     2.00    2016 01 02  1800     1.67       1.33
2016 01 02  1415    2016 01 02  1515     2.00    2016 01 02  1815     1.67       1.33
2016 01 02  1430    2016 01 02  1529     1.67    2016 01 02  1829     1.33       1.33
2016 01 02  1445    2016 01 02  1545     2.33    2016 01 02  1845     1.67       1.33
2016 01 02  1500    2016 01 02  1600     2.33    2016 01 02  1900     1.67       2.00
2016 01 02  1515    2016 01 02  1614     2.33    2016 01 02  1914     1.67       2.00
2016 01 02  1530    2016 01 02  1630     2.33    2016 01 02  1930     2.33       2.00
2016 01 02  1545    2016 01 02  1645     2.00    2016 01 02  1945     2.00       2.00
2016 01 02  1600    2016 01 02  1659     2.00    2016 01 02  1959     2.33       2.00
2016 01 02  1615    2016 01 02  1715     2.00    2016 01 02  2015     2.33       2.00
2016 01 02  1630    2016 01 02  1730     2.00    2016 01 02  2030     2.33       2.00
2016 01 02  1645    2016 01 02  1744     1.33    2016 01 02  2044     1.33       2.00
2016 01 02  1700    2016 01 02  1800     1.33    2016 01 02  2100     1.67       2.00
2016 01 02  1715    2016 01 02  1815     1.67    2016 01 02  2115     2.00       2.00
2016 01 02  1730    2016 01 02  1829     1.67    2016 01 02  2129     2.00       2.00
2016 01 02  1745    2016 01 02  1845     2.33    2016 01 02  2145     2.33       2.00
2016 01 02  1800    2016 01 02  1900     2.33    2016 01 02  2200     2.00       0.67
2016 01 02  1815    2016 01 02  1914     2.00    2016 01 02  2214     2.00       0.67
2016 01 02  1830    2016 01 02  1930     2.00    2016 01 02  2230     2.00       0.67
2016 01 02  1845    2016 01 02  1945     2.00    2016 01 02  2245     2.33       0.67
2016 01 02  1900    2016 01 02  1959     2.00    2016 01 02  2259     2.00       0.67
2016 01 02  1915    2016 01 02  2015     2.00    2016 01 02  2315     2.00       0.67
2016 01 02  1930    2016 01 02  2030     2.00    2016 01 02  2330     2.00       0.67
2016 01 02  1945    2016 01 02  2044     2.33    2016 01 02  2344     2.33       0.67
2016 01 02  2000    2016 01 02  2100     2.33    2016 01 03  0000     2.00       0.67
2016 01 02  2015    2016 01 02  2115     2.00    2016 01 03  0015     2.00       0.67
2016 01 02  2030    2016 01 02  2129     2.00    2016 01 03  0029     2.00       0.67
2016 01 02  2045    2016 01 02  2145     1.00    2016 01 03  0045     1.33       0.67
2016 01 02  2100    2016 01 02  2200     1.33    2016 01 03  0100     1.67       1.33
2016 01 02  2115    2016 01 02  2214     1.33    2016 01 03  0114     1.67       1.33
2016 01 02  2130    2016 01 02  2230     1.33    2016 01 03  0130     1.67       1.33
2016 01 02  2145    2016 01 02  2245     0.33    2016 01 03  0145     0.67       1.33
2016 01 02  2200    2016 01 02  2259     0.67    2016 01 03  0159     1.00       1.33
2016 01 02  2215    2016 01 02  2315     1.00    2016 01 03  0215     1.00       1.33
2016 01 02  2230    2016 01 02  2330     1.00    2016 01 03  0230     1.00       1.33
2016 01 02  2245    2016 01 02  2344     1.00    2016 01 03  0244     1.00       1.33
2016 01 02  2300    2016 01 03  0000     1.00    2016 01 03  0300     0.67       1.33
2016 01 02  2315    2016 01 03  0015     1.00    2016 01 03  0315     1.00       1.33
2016 01 02  2330    2016 01 03  0029     1.00    2016 01 03  0329     1.00       1.33
2016 01 02  2345    2016 01 03  0045     1.67    2016 01 03  0345     1.33       1.33
2016 01 03  0000    2016 01 03  0100     1.67    2016 01 03  0400     1.33       0.33
2016 01 03  0015    2016 01 03  0114     1.33    2016 01 03  0414     1.33       0.33
2016 01 03  0030    2016 01 03  0130     1.33    2016 01 03  0430     1.33       0.33
2016 01 03  0045    2016 01 03  0145     2.00    2016 01 03  0445     1.67       0.33
2016 01 03  0100    2016 01 03  0159     1.67    2016 01 03  0459     1.67       0.33
2016 01 03  0115    2016 01 03  0215     1.67    2016 01 03  0515     1.67       0.33
2016 01 03  0130    2016 01 03  0230     1.67    2016 01 03  0530     1.67       0.33
2016 01 03  0145    2016 01 03  0244     1.67    2016 01 03  0544     1.67       0.33
2016 01 03  0200    2016 01 03  0300     1.67    2016 01 03  0600     1.67       0.33
2016 01 03  0215    2016 01 03  0315     1.67    2016 01 03  0615     1.67       0.33
2016 01 03  0230    2016 01 03  0329     1.67    2016 01 03  0629     1.67       0.33
2016 01 03  0245    2016 01 03  0345     1.00    2016 01 03  0645     1.33       0.33
2016 01 03  0300    2016 01 03  0400     1.33    2016 01 03  0700     1.33       0.67
2016 01 03  0315    2016 01 03  0414     1.33    2016 01 03  0714     1.67       0.67
2016 01 03  0330    2016 01 03  0430     1.33    2016 01 03  0730     1.67       0.67
2016 01 03  0345    2016 01 03  0445     0.33    2016 01 03  0745     1.00       0.67
2016 01 03  0400    2016 01 03  0459     0.67    2016 01 03  0759     1.00       0.67
2016 01 03  0415    2016 01 03  0515     0.67    2016 01 03  0815     1.00       0.67
2016 01 03  0430    2016 01 03  0530     1.00    2016 01 03  0830     1.00       0.67
2016 01 03  0445    2016 01 03  0544     1.00    2016 01 03  0844     1.00       0.67
2016 01 03  0500    2016 01 03  0600     1.00    2016 01 03  0900     1.33       0.67
2016 01 03  0515    2016 01 03  0615     1.00    2016 01 03  0915     1.33       0.67
2016 01 03  0530    2016 01 03  0629     1.33    2016 01 03  0929     1.67       0.67
2016 01 03  0545    2016 01 03  0645     1.00    2016 01 03  0945     1.33       0.67
2016 01 03  0600    2016 01 03  0700     1.00    2016 01 03  1000     1.33       2.00
2016 01 03  0615    2016 01 03  0714     1.00    2016 01 03  1014     1.33       2.00
2016 01 03  0630    2016 01 03  0730     1.00    2016 01 03  1030     1.33       2.00
2016 01 03  0645    2016 01 03  0745     1.33    2016 01 03  1045     1.33       2.00
2016 01 03  0700    2016 01 03  0759     1.33    2016 01 03  1059     1.33       2.00
2016 01 03  0715    2016 01 03  0815     1.33    2016 01 03  1115     1.33       2.00
2016 01 03  0730    2016 01 03  0830     1.33    2016 01 03  1130     1.33       2.00
2016 01 03  0745    2016 01 03  0844     1.67    2016 01 03  1144     1.67       2.00
2016 01 03  0800    2016 01 03  0900     1.67    2016 01 03  1200     1.33       2.00
2016 01 03  0815    2016 01 03  0915     1.33    2016 01 03  1215     1.33       2.00
2016 01 03  0830    2016 01 03  0929     1.33    2016 01 03  1229     1.00       2.00
2016 01 03  0845    2016 01 03  0945     2.67    2016 01 03  1245     2.33       2.00
2016 01 03  0900    2016 01 03  1000     2.33    2016 01 03  1300     2.00       0.33
2016 01 03  0915    2016 01 03  1014     2.00    2016 01 03  1314     2.00       0.33
2016 01 03  0930    2016 01 03  1030     2.00    2016 01 03  1330     2.00       0.33
2016 01 03  0945    2016 01 03  1045     2.33    2016 01 03  1345     2.33       0.33
2016 01 03  1000    2016 01 03  1059     2.33    2016 01 03  1359     2.33       0.33
2016 01 03  1015    2016 01 03  1115     2.00    2016 01 03  1415     2.33       0.33
2016 01 03  1030    2016 01 03  1130     2.00    2016 01 03  1430     2.33       0.33
2016 01 03  1045    2016 01 03  1144     2.00    2016 01 03  1444     2.33       0.33
2016 01 03  1100    2016 01 03  1200     2.00    2016 01 03  1500     2.33       0.33
2016 01 03  1115    2016 01 03  1215     2.00    2016 01 03  1515     2.33       0.33
2016 01 03  1130    2016 01 03  1229     2.00    2016 01 03  1529     2.33       0.33
2016 01 03  1145    2016 01 03  1245     2.33    2016 01 03  1545     2.33       0.33
2016 01 03  1200    2016 01 03  1300     2.33    2016 01 03  1600     2.33       1.33
2016 01 03  1215    2016 01 03  1314     2.33    2016 01 03  1614     2.67       1.33
2016 01 03  1230    2016 01 03  1330     2.33    2016 01 03  1630     2.33       1.33
2016 01 03  1245    2016 01 03  1345     2.33    2016 01 03  1645     0.67       1.33
2016 01 03  1300    2016 01 03  1359     0.33    2016 01 03  1659     1.00       1.33
2016 01 03  1315    2016 01 03  1415     0.67    2016 01 03  1715     1.00       1.33
2016 01 03  1330    2016 01 03  1430     1.00    2016 01 03  1730     1.00       1.33
2016 01 03  1345    2016 01 03  1444     1.00    2016 01 03  1744     1.00       1.33
2016 01 03  1400    2016 01 03  1500     1.00    2016 01 03  1800     1.00       1.33
2016 01 03  1415    2016 01 03  1515     1.00    2016 01 03  1815     1.00       1.33
2016 01 03  1430    2016 01 03  1529     1.00    2016 01 03  1829     1.00       1.33
2016 01 03  1445    2016 01 03  1545     2.33    2016 01 03  1845     2.00       1.33
2016 01 03  1500    2016 01 03  1600     2.00    2016 01 03  1900     1.67       1.33
2016 01 03  1515    2016 01 03  1614     1.67    2016 01 03  1914     1.67       1.33
2016 01 03  1530    2016 01 03  1630     1.67    2016 01 03  1930     1.67       1.33
2016 01 03  1545    2016 01 03  1645     1.67    2016 01 03  1945     1.67       1.33
2016 01 03  1600    2016 01 03  1659     1.67    2016 01 03  1959     1.67       1.33
2016 01 03  1615    2016 01 03  1715     1.67    2016 01 03  2015     1.67       1.33
2016 01 03  1630    2016 01 03  1730     1.67    2016 01 03  2030     1.67       1.33
2016 01 03  1645    2016 01 03  1744     2.00    2016 01 03  2044     2.00       1.33
2016 01 03  1700    2016 01 03  1800     2.00    2016 01 03  2100     2.00       1.33
2016 01 03  1715    2016 01 03  1815     1.67    2016 01 03  2115     1.67       1.33
2016 01 03  1730    2016 01 03  1829     1.67    2016 01 03  2129     1.33       1.33
2016 01 03  1745    2016 01 03  1845     0.67    2016 01 03  2145     0.67       1.33
2016 01 03  1800    2016 01 03  1900     0.67    2016 01 03  2200     0.67       1.00
2016 01 03  1815    2016 01 03  1914     1.00    2016 01 03  2214     0.67       1.00
2016 01 03  1830    2016 01 03  1930     1.00    2016 01 03  2230     1.00       1.00
2016 01 03  1845    2016 01 03  1945     1.67    2016 01 03  2245     1.33       1.00
2016 01 03  1900    2016 01 03  1959     1.67    2016 01 03  2259     1.33       1.00
2016 01 03  1915    2016 01 03  2015     1.67    2016 01 03  2315     1.33       1.00
2016 01 03  1930    2016 01 03  2030     1.67    2016 01 03  2330     1.33       1.00
2016 01 03  1945    2016 01 03  2044     2.00    2016 01 03  2344     2.00       1.00
2016 01 03  2000    2016 01 03  2100     2.00    2016 01 04  0000     2.00       1.00
2016 01 03  2015    2016 01 03  2115     1.67    2016 01 04  0015     1.67       1.00
2016 01 03  2030    2016 01 03  2129     1.67    2016 01 04  0029     1.67       1.00
2016 01 03  2045    2016 01 03  2145     1.33    2016 01 04  0045     1.67       1.00
2016 01 03  2100    2016 01 03  2200     1.33    2016 01 04  0100     1.67       1.67
2016 01 03  2115    2016 01 03  2214     1.33    2016 01 04  0114     1.67       1.67
2016 01 03  2130    2016 01 03  2230     1.33    2016 01 04  0130     1.33       1.67
2016 01 03  2145    2016 01 03  2245     1.33    2016 01 04  0145     1.33       1.67
2016 01 03  2200    2016 01 03  2259     1.33    2016 01 04  0159     1.00       1.67
